stimulus_id,stimulus_novelty,stimulus_label,stimulus_image_path,lab_stimulus_id,dataset_id
0,NA,slide,NA,NA,0
1,NA,knife,NA,NA,0
2,NA,zipper,NA,NA,0
3,NA,flag,NA,NA,0
4,NA,belt,NA,NA,0
5,NA,tape,NA,NA,0
6,NA,dress,NA,NA,0
7,NA,pudding,NA,NA,0
8,NA,bucket,NA,NA,0
9,NA,sock,NA,NA,0
10,NA,hose,NA,NA,0
11,NA,glove,NA,NA,0
12,NA,donut,NA,NA,0
13,NA,bib,NA,NA,0
14,NA,necklace,NA,NA,0
15,NA,scissors,NA,NA,0
16,NA,crib,NA,NA,0
17,NA,boot,NA,NA,0
18,NA,hammer,NA,NA,0
19,NA,ladder,NA,NA,0
20,NA,slipper,NA,NA,0
21,NA,puzzle,NA,NA,0
22,NA,glasses,NA,NA,0
23,NA,chalk,NA,NA,0
24,NA,shorts,NA,NA,0
25,NA,purse,NA,NA,0
26,NA,shovel,NA,NA,0
27,NA,lamp,NA,NA,0
28,NA,can,NA,NA,0
29,NA,comb,NA,NA,0
30,NA,muffin,NA,NA,0
31,NA,plate,NA,NA,0
