stimulus_label,stimulus_image,lab_stimulus_id,stimulus_set_id,dataset_id
slide,slide,NA,0,0
knife,knife,NA,1,0
zipper,zipper,NA,2,0
flag,flag,NA,3,0
belt,belt,NA,4,0
tape,tape,NA,5,0
dress,dress,NA,6,0
pudding,pudding,NA,7,0
bucket,bucket,NA,8,0
sock,sock,NA,9,0
hose,hose,NA,10,0
glove,glove,NA,11,0
donut,donut,NA,12,0
bib,bib,NA,13,0
necklace,necklace,NA,14,0
scissors,scissors,NA,15,0
crib,crib,NA,16,0
boot,boot,NA,17,0
hammer,hammer,NA,18,0
ladder,ladder,NA,19,0
slipper,slipper,NA,20,0
puzzle,puzzle,NA,21,0
glasses,glasses,NA,22,0
chalk,chalk,NA,23,0
shorts,shorts,NA,24,0
purse,purse,NA,25,0
shovel,shovel,NA,26,0
lamp,lamp,NA,27,0
can,can,NA,28,0
comb,comb,NA,29,0
muffin,muffin,NA,30,0
plate,plate,NA,31,0
